Epoch,AvgClassLoss,AvgSentiLoss,ClassAccuracy,SentiAccuracy
1,0.8526056988963059,0.9498822047160222,0.8181818181818182,0.5952380952380952
2,0.23802995116316847,0.3464062584277529,0.9545454545454546,0.8095238095238095
3,0.05571635117355202,0.1809220893595081,0.9772727272727273,0.7857142857142857
4,0.015593936434015632,0.11810407248468927,1.0,0.7619047619047619
5,0.02520423017475488,0.19329123578679103,0.9772727272727273,0.6666666666666666
6,0.00737550448892372,0.04579186195937487,0.9772727272727273,0.8095238095238095
7,0.0035454333244290736,0.006830638686481576,0.9772727272727273,0.8095238095238095
8,0.002589611045550555,0.002449721939718494,0.9772727272727273,0.8095238095238095
9,0.00237920946840729,0.0016782774339215113,0.9772727272727273,0.7857142857142857
10,0.0020083821478432845,0.0014968862703356605,0.9772727272727273,0.7857142857142857
11,0.001715696296222242,0.0012830395090322082,0.9772727272727273,0.8095238095238095
12,0.0015899564023129642,0.001105614637848563,0.9772727272727273,0.8095238095238095
13,0.0014506431678975268,0.0010075630584301858,0.9772727272727273,0.8095238095238095
14,0.0013402325234242848,0.0009066510784368103,0.9772727272727273,0.8095238095238095
15,0.0012717565904105349,0.0008299918890071029,0.9772727272727273,0.8095238095238095
16,0.0011352944129612297,0.0007666381022248131,0.9772727272727273,0.8095238095238095
17,0.0010434526775497943,0.0007035686509110606,0.9772727272727273,0.8095238095238095
18,0.0009807578213180282,0.0006580577039410575,0.9772727272727273,0.8095238095238095
19,0.0009159866105099874,0.0006341992075949048,0.9772727272727273,0.8095238095238095
20,0.0008599880966357887,0.0005872856910662869,0.9772727272727273,0.8095238095238095
